mesh_name;object_name;triangle_index;material_name;v0_x;v0_y;v0_z;v1_x;v1_y;v1_z;v2_x;v2_y;v2_z;normal;diffuse_color;specular_color;kd;ks;shininess
Sphere;Sphere;416;sphere_reflective;2.046937;0.902455;-0.187665;2.115911;0.808658;-0.256640;2.073224;0.808658;-0.176777;(-0.844292, -0.289001, -0.451276);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;417;sphere_reflective;2.243360;1.415735;-0.106304;2.340905;1.461940;-0.106304;2.269030;1.415735;-0.154329;(-0.417298, 0.880972, -0.223051);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;418;sphere_reflective;2.073224;0.808658;-0.176777;2.154329;0.722215;-0.230970;2.115911;0.722215;-0.159095;(-0.778618, -0.469625, -0.416180);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;419;sphere_reflective;2.243360;1.415735;-0.106304;2.206031;1.353553;-0.196424;2.173359;1.353553;-0.135299;(-0.561101, 0.771503, -0.299915);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;420;sphere_reflective;2.173359;0.646447;-0.135299;2.154329;0.722215;-0.230970;2.206031;0.646447;-0.196424;(-0.683055, -0.632564, -0.365101);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;421;sphere_reflective;2.173359;1.353553;-0.135299;2.154329;1.277785;-0.230970;2.115911;1.277785;-0.159095;(-0.683055, 0.632564, -0.365101);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;422;sphere_reflective;2.243360;0.584265;-0.106304;2.206031;0.646447;-0.196424;2.269030;0.584265;-0.154329;(-0.561100, -0.771504, -0.299915);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;423;sphere_reflective;2.073224;1.191342;-0.176777;2.154329;1.277785;-0.230970;2.115911;1.191342;-0.256640;(-0.778619, 0.469629, -0.416174);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;424;sphere_reflective;2.243360;0.584265;-0.106304;2.340905;0.538060;-0.106304;2.323223;0.538060;-0.073223;(-0.417298, -0.880972, -0.223048);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;425;sphere_reflective;2.046937;1.097545;-0.187665;2.115911;1.191342;-0.256640;2.092254;1.097545;-0.272448;(-0.844291, 0.288999, -0.451278);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;426;sphere_reflective;2.323223;0.538060;-0.073223;2.418894;0.509607;-0.054193;2.409880;0.509607;-0.037329;(-0.257143, -0.956549, -0.137446);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;427;sphere_reflective;2.046937;1.097545;-0.187665;2.084266;1.000000;-0.277785;2.038061;1.000000;-0.191342;(-0.877714, 0.097551, -0.469150);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
